Date,Open,High,Low,Price
"Feb 21, 2017","1,237.30","1,237.50","1,228.10","1,237.50"
"Feb 17, 2017","1,240.70","1,241.20","1,234.80","1,237.60"
"Feb 16, 2017","1,234.50","1,240.70","1,233.20","1,240.00"
"Feb 15, 2017","1,225.50","1,231.70","1,217.30","1,231.70"
"Feb 14, 2017","1,225.90","1,233.50","1,222.10","1,223.90"
"Feb 13, 2017","1,230.50","1,231.10","1,219.00","1,224.40"
"Feb 10, 2017","1,227.60","1,234.40","1,221.50","1,234.40"
"Feb 09, 2017","1,239.40","1,243.50","1,226.90","1,235.10"
"Feb 08, 2017","1,232.10","1,243.90","1,231.00","1,237.60"
"Feb 07, 2017","1,234.20","1,236.20","1,228.50","1,234.20"
"Feb 06, 2017","1,221.90","1,235.40","1,218.50","1,230.00"
"Feb 03, 2017","1,214.90","1,220.60","1,206.20","1,218.50"
"Feb 02, 2017","1,209.70","1,224.20","1,208.90","1,216.70"
"Feb 01, 2017","1,211.90","1,211.90","1,197.90","1,205.60"
"Jan 31, 2017","1,194.90","1,214.70","1,193.50","1,208.60"
"Jan 30, 2017","1,191.70","1,198.50","1,187.10","1,193.20"
"Jan 27, 2017","1,187.90","1,188.30","1,187.90","1,188.10"
"Jan 26, 2017","1,199.70","1,199.70","1,185.60","1,189.50"
"Jan 25, 2017","1,202.00","1,202.80","1,194.90","1,197.30"
"Jan 24, 2017","1,219.00","1,219.00","1,207.70","1,210.30"
"Jan 23, 2017","1,212.00","1,215.00","1,210.00","1,215.00"
"Jan 20, 2017","1,202.80","1,212.10","1,202.80","1,204.30"
"Jan 19, 2017","1,200.50","1,204.00","1,195.80","1,200.90"
"Jan 18, 2017","1,213.60","1,214.70","1,203.10","1,211.30"
"Jan 17, 2017","1,205.50","1,214.60","1,200.80","1,212.00"
"Jan 13, 2017","1,195.70","1,196.00","1,187.70","1,195.30"
"Jan 12, 2017","1,192.70","1,204.30","1,192.30","1,198.90"
"Jan 11, 2017","1,187.50","1,197.00","1,176.50","1,195.60"
"Jan 10, 2017","1,184.30","1,188.90","1,182.30","1,184.20"
"Jan 09, 2017","1,173.90","1,183.60","1,173.00","1,183.50"
"Jan 06, 2017","1,176.50","1,176.50","1,171.90","1,171.90"
"Jan 05, 2017","1,172.00","1,183.30","1,171.50","1,179.70"
"Jan 04, 2017","1,156.30","1,165.00","1,156.30","1,163.80"
"Jan 03, 2017","1,155.20","1,160.80","1,146.50","1,160.40"
"Dec 30, 2016","1,162.00","1,162.00","1,150.00","1,150.00"
"Dec 29, 2016","1,143.80","1,158.80","1,143.60","1,156.40"
"Dec 28, 2016","1,141.20","1,141.20","1,138.00","1,139.40"
"Dec 27, 2016","1,134.30","1,142.20","1,134.30","1,137.30"
"Dec 23, 2016","1,130.90","1,132.80","1,130.30","1,131.90"
"Dec 22, 2016","1,131.20","1,132.80","1,128.30","1,128.80"
"Dec 21, 2016","1,136.10","1,136.10","1,130.00","1,131.10"
"Dec 20, 2016","1,133.50","1,133.50","1,126.50","1,131.50"
"Dec 19, 2016","1,139.40","1,140.70","1,137.90","1,140.50"
"Dec 16, 2016","1,126.90","1,140.90","1,126.90","1,135.30"
